ISO_3,Country,Data source,Sector,Gas,Unit,GHG_incl_landuse
AFG,Afghanistan,CAIT,Total including LUCF,All GHG,MtCO2e,95.53
ALB,Albania,CAIT,Total including LUCF,All GHG,MtCO2e,9.49
DZA,Algeria,CAIT,Total including LUCF,All GHG,MtCO2e,210.03
AND,Andorra,CAIT,Total including LUCF,All GHG,MtCO2e,0.59
AGO,Angola,CAIT,Total including LUCF,All GHG,MtCO2e,138.85
ATG,Antigua and Barbuda,CAIT,Total including LUCF,All GHG,MtCO2e,1.13
ARG,Argentina,CAIT,Total including LUCF,All GHG,MtCO2e,396.27
ARM,Armenia,CAIT,Total including LUCF,All GHG,MtCO2e,9.54
AUS,Australia,CAIT,Total including LUCF,All GHG,MtCO2e,577.32
AUT,Austria,CAIT,Total including LUCF,All GHG,MtCO2e,68.53
AZE,Azerbaijan,CAIT,Total including LUCF,All GHG,MtCO2e,79.97
BHS,Bahamas,CAIT,Total including LUCF,All GHG,MtCO2e,2.6
BHR,Bahrain,CAIT,Total including LUCF,All GHG,MtCO2e,47.15
BGD,Bangladesh,CAIT,Total including LUCF,All GHG,MtCO2e,205.26
BRB,Barbados,CAIT,Total including LUCF,All GHG,MtCO2e,3.81
BLR,Belarus,CAIT,Total including LUCF,All GHG,MtCO2e,62.24
BEL,Belgium,CAIT,Total including LUCF,All GHG,MtCO2e,110.52
BLZ,Belize,CAIT,Total including LUCF,All GHG,MtCO2e,6.77
BEN,Benin,CAIT,Total including LUCF,All GHG,MtCO2e,26.83
BTN,Bhutan,CAIT,Total including LUCF,All GHG,MtCO2e,1.01
BOL,Bolivia,CAIT,Total including LUCF,All GHG,MtCO2e,126.36
BIH,Bosnia and Herzegovina,CAIT,Total including LUCF,All GHG,MtCO2e,25.46
BWA,Botswana,CAIT,Total including LUCF,All GHG,MtCO2e,54.92
BRA,Brazil,CAIT,Total including LUCF,All GHG,MtCO2e,1443.98
BRN,Brunei,CAIT,Total including LUCF,All GHG,MtCO2e,16.57
BGR,Bulgaria,CAIT,Total including LUCF,All GHG,MtCO2e,20.47
BFA,Burkina Faso,CAIT,Total including LUCF,All GHG,MtCO2e,53.75
