source ,model_search_expression,model_name
Allen_al_2016,(?i)input-output,Input-Output
Allen_al_2016,EORA,EORA
Allen_al_2016,(?i)EXIPOL,EXIPOL
Allen_al_2016,(?i)WIOD,WIOD
Allen_al_2016,(?i)PROSUITE DSS,PROSUITE DSS
Allen_al_2016,(?i)EUREAPA,EUREAPA
Allen_al_2016,(?i)social accounting matrix,Social Accounting Matrices
Allen_al_2016,(?i)system of national account,Systems of National Accounts
Allen_al_2016,JEDI,JEDI
Allen_al_2016,(?i)Social Accounting Matrice,Social Accounting Matrice
Allen_al_2016,(?i)System of National Account,System of National Account
Allen_al_2016,FUGI,FUGI
Allen_al_2016,(?i)NEMESIS,NEMESIS
Allen_al_2016,(?i)GINFORS,GINFORS
Allen_al_2016,(?i)Global Policy Model,Global Policy Model
Allen_al_2016,INFORGE,INFORGE
Allen_al_2016,(?i)PANTA RHEI,PANTA RHEI
Allen_al_2016,(?i)GEM-E3,GEM-E3
Allen_al_2016,(?i)GEM-CCGT,GEM-CCGT
Allen_al_2016,AMIGA,AMIGA
Allen_al_2016,EDGE,EDGE
Allen_al_2016,(?i)GEMINI-E3,GEMINI-E3
Allen_al_2016,(?i)MAMS,MAMS
Allen_al_2016,(?i)123PRSP,123PRSP
Allen_al_2016,(?i)IMMPA,IMMPA
Allen_al_2016,(?i)GTAP,GTAP
Allen_al_2016,(?i)Gdyn,Gdyn
Allen_al_2016,(?i)WorldScan,WorldScan
Allen_al_2016,(?i)ENV-Linkages,ENV-Linkages
Allen_al_2016,ENVISAGE,ENVISAGE
Allen_al_2016,(?i)GIDD,GIDD
Allen_al_2016,MIRAGE,MIRAGE
Allen_al_2016,MAGNET,MAGNET
Allen_al_2016,(?i)LEITAP,LEITAP
Allen_al_2016,ALCES,ALCES
Allen_al_2016,(?i)Australian Stocks and Flows,Australian Stocks and Flows
Allen_al_2016,(?i)Sustainable Europe Model,Sustainable Europe Model
Allen_al_2016,(?i)World Simulator,World Simulator
Allen_al_2016,(?i)World3,World3
Allen_al_2016,ASTRA,ASTRA
Allen_al_2016,(?i)Polestar,Polestar
Allen_al_2016,GUMBO,GUMBO
Allen_al_2016,PHOENIX,PHOENIX
Allen_al_2016,POLES,POLES
Allen_al_2016,(?i)MARKAL,MARKAL
Allen_al_2016,TIMES,TIMES
Allen_al_2016,MESSAGE,MESSAGE
Allen_al_2016,PRIMES,PRIMES
Allen_al_2016,(?i)T-REMOVE,T-REMOVE
Allen_al_2016,(?i)World Energy Model,World Energy Model
Allen_al_2016,(?i)OseMOSYS,OseMOSYS
Allen_al_2016,(?i)GLOBIOM,GLOBIOM
Allen_al_2016,(?i)MAED-2,MAED-2
