Global Code,Global Name,Region Code,Region_Name,Sub-region Code,Sub-region_Name,Intermediate Region Code,Intermediate_Region_Name,Country0,Demonym1,Demonym2,M49 Code,ISO_3,ADM0_A3,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),Developed_Developing_Countries,Region,Country
1,World,2,Africa,15,Northern Africa,,,Algeria,Algerian,,12,DZA,DZA,,,,Developing,Africa,Algeria
1,World,2,Africa,15,Northern Africa,,,Egypt,Egyptian,,818,EGY,EGY,,,,Developing,Africa,Egypt
1,World,2,Africa,15,Northern Africa,,,Libya,Libyan,,434,LBY,LBY,,,,Developing,Africa,Libya
1,World,2,Africa,15,Northern Africa,,,Morocco,Moroccan,,504,MAR,MAR,,,,Developing,Africa,Morocco
1,World,2,Africa,15,Northern Africa,,,Sudan,Sudanese,,729,SDN,SDN,x,,,Developing,Africa,Sudan
1,World,2,Africa,15,Northern Africa,,,Tunisia,Tunisian,,788,TUN,TUN,,,,Developing,Africa,Tunisia
1,World,2,Africa,15,Northern Africa,,,Western Sahara,,,732,ESH,SAH ,,,,Developing,Africa,Western Sahara
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,British Indian Ocean Territory,,,86,IOT,IOT,,,,Developing,Africa,British Indian Ocean Territory
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Burundi,Burundian,,108,BDI,BDI,x,x,,Developing,Africa,Burundi
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Comoros,Comoran,Comorian,174,COM,COM,x,,x,Developing,Africa,Comoros
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Djibouti,Djiboutian,,262,DJI,DJI,x,,,Developing,Africa,Djibouti
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Eritrea,Eritrean,,232,ERI,ERI,x,,,Developing,Africa,Eritrea
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Ethiopia,Ethiopian,,231,ETH,ETH,x,x,,Developing,Africa,Ethiopia
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,French Southern Territories,,,260,ATF,ATF,,,,Developing,Africa,French Southern Territories
