scopus_number,title,authors,source,doi,publication_year,author_keywords,docu_type
2-s2.0-0001114213,Forest management options for sequestering carbon in Mexico,"Masera O.R., Bellon M.R., Segura G.",Biomass and Bioenergy,10.1016/0961-9534(95)00028-3,1995,,Article
2-s2.0-0002238861,Modeling of air quality during a short winter period in Switzerland and comparison with summer results,"Andreani-Aksoyoglu S., Keller J.",Advances in Air Pollution,,2000,,Conference Paper
2-s2.0-0016645541,Desulfurization of Fuel and Flue Gas When Using Heavy Fuel Oil: Cost Optimization Through a System Analysis for the Federal Republic of Germany. [BRENNSTOFF- UND RAUCHGASENTSCHWEFELUNG BEI EINSATZ VON SCHWEREM HEIZOEL KOSTENOPTIMIERUNGEN DURCH EINE SYSTEMANALYSE FUER DIE BRD.],"Anton Peter, Bruegel Paul, Carlsen Karl Heinz",,,1975,,Conference Paper
2-s2.0-0024208977,Assessing carbon emission control strategies: The case of China,Chandler W.U.,Climatic Change,10.1007/BF00139809,1988,,Article
2-s2.0-0026152444,U.S.S.R.: Energy efficiency and prospects,Sinyak Y.,Energy,10.1016/0360-5442(91)90068-W,1991,,Article
2-s2.0-0026311761,CO2 savings in Brazil. The importance of a small contribution,"Graca G.M.G., Ketoff A.N.",Energy Policy,10.1016/0301-4215(91)90121-4,1991,Brazil; Carbon savings; Energy-use scenarios,Article
2-s2.0-0026358266,Future coastal defence in the Netherlands: strategies for protection and sustainable development,"Louisse C.J., Van Der Meulen F.",Journal of Coastal Research,,1991,,Article
2-s2.0-0027338646,Assessing the impact of CO2 emission control scenarios in Finland on radiative forcing and greenhouse effect,"Korhonen R., Savolainen I., Sinisalo J.",Environmental Management,10.1007/BF02393900,1993,Carbon dioxide; Emission control scenarios; Fossil fuel; Greenhouse effect; Model; Radiative forcing,Article
2-s2.0-0027382637,"Possible impacts of, and adjustments to, sea level rise: the cases of Bangladesh and Egypt",Broadus J.M.,Climate and sea level change,,1993,,Article
2-s2.0-0027675973,U.S. Carbon offset potential using biomass energy systems,"Wright L.L., Hughes E.E.","Water, Air, & Soil Pollution",10.1007/BF01105017,1993,,Article
2-s2.0-0027876130,Assessment of the warming impact due to greenhouse gases in assumed emission reduction scenarios in Finland [Kasvihuonekaasujen lammitysvaikutuksen arviointi oletetuissa Suomen paastojen rajoitusskenaarioissa],"Korhonen Riitta, Pipatti Riitta, Savolainen Ilkka, Sinisalo Jukka",Valtion Teknillinen Tutkimuskeskus,,1993,,Report
2-s2.0-0028547009,Constructing CO2 reduction cost curves The case of Denmark,Morthorst P.E.,Energy Policy,10.1016/0301-4215(94)90044-2,1994,CO2 reduction; Denmark; Scenarios,Article
2-s2.0-0028561565,Alternative energy strategies for abatement of carbon emissions in Brazil A cost-benefit analysis,"La Rovere E.L., Legey L.F.L., Miguez J.D.G.",Energy Policy,10.1016/0301-4215(94)90039-6,1994,CO2 abatement costs; Emissions; Long-run energy planning,Article
2-s2.0-0028562693,Key challenges facing Thailand in the context of global CO2 emission abatement,"van Dang G., Minh L.B., Yodmani S.",Energy Policy,10.1016/0301-4215(94)90045-0,1994,CO2 emissions; Emission abatement strategies; Thailand,Article
2-s2.0-0029415411,"Technology change in US iron and steel production. Implications for material and energy use, and CO2 emissions",Ruth M.,Resources Policy,10.1016/0301-4207(96)89790-X,1995,,Article
2-s2.0-0029415942,The role of renewable energy in carbon dioxide emission reduction in Poland,"Wisniewski G., Rogulska M., Grzybek A., Pietruszko S.M.",Applied Energy,10.1016/0306-2619(95)00045-T,1995,,Article
2-s2.0-0029475707,Mitigation options in the forest sector with reference to Mexico,Masera O.,Revista de la Facultad de Ingenieria,,1995,,Article
2-s2.0-0029540921,CO2 emission reduction in Canada: results from an energy system model,"Wells J.D., Rogner H.-H.",Energy Studies Review,,1995,,Article
2-s2.0-0029669785,"Costs of reducing carbon emissions from the energy sector: A comparison of China, India, and Brazil","Sathaye J., Monahan P., Sanstad A.",AMBIO,,1996,,Article
