WOS_number,doc_type,authors,title,source,doi,publication_year,author_keywords,email
MEDLINE:32843822,J,"Brodny, Jaroslaw; Tutak, Magdalena",The analysis of similarities between the European Union countries in terms of the level and structure of the emissions of selected gases and air pollutants into the atmosphere.,Journal of cleaner production,10.1016/j.jclepro.2020.123641,2021,,
MEDLINE:32798870,J,"Mi, Chenxi; Shatwell, Tom; Ma, Jun; Xu, Yaqian; Su, Fangli; Rinke, Karsten",Ensemble warming projections in Germany's largest drinking water reservoir and potential adaptation strategies.,The Science of the total environment,10.1016/j.scitotenv.2020.141366,2020,,
MEDLINE:32900543,J,"Gomez-Sanabria, Adriana; Zusman, Eric; Hoglund-Isaksson, Lena; Klimont, Zbigniew; Lee, So-Young; Akahoshi, Kaoru; Farzaneh, Hooman; Chairunnisa",Sustainable wastewater management in Indonesia's fish processing industry: Bringing governance into scenario analysis.,Journal of environmental management,10.1016/j.jenvman.2020.111241,2020,,
MEDLINE:33027737,J,"Kuylenstierna, Johan C I; Heaps, Charles G; Ahmed, Tanvir; Vallack, Harry W; Hicks, W Kevin; Ashmore, Mike R; Malley, Christopher S; Wang, Guozhong; Lefevre, Elsa N; Anenberg, Susan C; Lacey, Forrest; Shindell, Drew T; Bhattacharjee, Utpal; Henze, Daven K",Development of the Low Emissions Analysis Platform - Integrated Benefits Calculator (LEAP-IBC) tool to assess air quality and climate co-benefits: Application for Bangladesh.,Environment international,10.1016/j.envint.2020.106155,2020,,
WOS:000571967500005,J,"van der Salm, C; Voogt, W; Beerling, E; van Ruijven, J; van Os, E",Minimising emissions to water bodies from NW European greenhouses; with focus on Dutch vegetable cultivation,AGRICULTURAL WATER MANAGEMENT,10.1016/j.agwat.2020.106398,2020,drainage; DSS model; fertigation; hydroponics; irrigation; leaching; lysimeter; nitrogen; nutrients; pesticides; plant protection products; recirculation; soil grown; soil moisture sensor; substrate; water framework directive,
WOS:000569865000002,J,"Daigneault, AJ; Sohngen, BL; Sedjo, R",Carbon and market effects of US forest taxation policy,ECOLOGICAL ECONOMICS,10.1016/j.ecolecon.2020.106803,2020,Timber; Taxation; Investment; Harvest; Carbon Sequestration; Ecosystem Services,
MEDLINE:32956918,J,"Wang, Yong; Yang, Hanxiao; Sun, Ruixin","Effectiveness of China's provincial industrial carbon emission reduction and optimization of carbon emission reduction paths in ""lagging regions"": Efficiency-cost analysis.",Journal of environmental management,10.1016/j.jenvman.2020.111221,2020,,
MEDLINE:32904903,J,"Shahbaz, Muhammad; Nasir, Muhammad Ali; Hille, Erik; Mahalik, Mantu Kumar","UK's net-zero carbon emissions target: Investigating the potential role of economic growth, financial development, and R&D expenditures based on historical data (1870-2017).",Technological forecasting and social change,10.1016/j.techfore.2020.120255,2020,,
MEDLINE:32895598,J,"Skoczkowski, Tadeusz; Verdolini, Elena; Bielecki, Slawomir; Kochanski, Max; Korczak, Katarzyna; Weglarz, Arkadiusz",Technology innovation system analysis of decarbonisation options in the EU steel industry.,"Energy (Oxford, England)",10.1016/j.energy.2020.118688,2020,,
WOS:000581061500016,J,"Liao, WL; Liu, XP; Xu, XY; Chen, GZ; Liang, X; Zhang, HH; Li, X",Projections of land use changes under the plant functional type classification in different SSP-RCP scenarios in China,SCIENCE BULLETIN,10.1016/j.scib.2020.07.014,2020,Land use change; Plant functional type; Future Land Uses Simulation (FLUS); Land use simulation; SSP-RCP scenarios,
WOS:000579365600047,J,"Tang, BJ; Wu, Y; Yu, BY; Li, R; Wang, XY",Co-current analysis among electricity-water-carbon for the power sector in China,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2020.141005,2020,Low-carbon transition; Water saving; Water-carbon nexus; NET-Power model; Power sector; China,
WOS:000579406000003,J,"Vellini, M; Bellocchi, S; Gambini, M; Manno, M; Stilo, T",Impact and costs of proposed scenarios for power sector decarbonisation: An Italian case study,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2020.123667,2020,Electricity generation mix; Power sector decarbonisation; Intermittent renewable sources; CO2 mitigation cost; CO2 emissions avoided,
