index1,topic_charact,number_of_abs,title
21387,31_drought_precipit_sever_frequenc_index,89,Projected Changes of Future Extreme Drought Events under Numerous Drought Indices in the Heilongjiang Province of China
21388,31_drought_precipit_sever_frequenc_index,89,Drought hazard assessment in the context of climate change for South Korea
21389,31_drought_precipit_sever_frequenc_index,89,Synthetic impacts of internal climate variability and anthropogenic change on future meteorological droughts over China
21390,31_drought_precipit_sever_frequenc_index,89,Future Meteorological Droughts in Ecuador: Decreasing Trends and Associated Spatio-Temporal Features Derived From CMIP5 Models
21391,31_drought_precipit_sever_frequenc_index,89,Projections of drought characteristics in China based on a standardized precipitation and evapotranspiration index and multiple GCMs
21392,31_drought_precipit_sever_frequenc_index,89,What do climate change projections say about future droughts in Alabama and Georgia?
21393,31_drought_precipit_sever_frequenc_index,89,"Projections of future meteorological drought events under representative concentration pathways (RCPs) of CMIP5 over Kenya, East Africa"
21394,31_drought_precipit_sever_frequenc_index,89,Effects of greenhouse gas mitigation on drought impacts in the United States
21395,31_drought_precipit_sever_frequenc_index,89,Projection of Temporal Trends on Drought Characteristics using the Standardized Precipitation Evapotranspiration Index (SPEI) in South Korea
21396,31_drought_precipit_sever_frequenc_index,89,Characterizing changes in drought risk for the United States from climate change
21397,31_drought_precipit_sever_frequenc_index,89,"Predictions of future meteorological drought hazard (similar to 2070) under the representative concentration path (RCP) 4.5 climate change scenarios in Raya, Northern Ethiopia"
21398,31_drought_precipit_sever_frequenc_index,89,"Future drought and aridity monitoring using multi-model approach under climate change in Hintalo Wejerat district, Ethiopia"
21399,31_drought_precipit_sever_frequenc_index,89,"Impact of climate change on meteorological, hydrological and agricultural droughts in the Lower Mekong River Basin: a case study of the Srepok Basin, Vietnam"
21400,31_drought_precipit_sever_frequenc_index,89,Responses of Precipitation and Runoff to Climate Warming and Implications for Future Drought Changes in China
21401,31_drought_precipit_sever_frequenc_index,89,"Historical and Future Climatological Drought Projections over Quetta Valley, Balochistan, Pakistan"
21402,31_drought_precipit_sever_frequenc_index,89,Projected drought conditions in Northwest China with CMIP6 models under combined SSPs and RCPs for 2015–2099
21403,31_drought_precipit_sever_frequenc_index,89,"Changes in drought frequency, severity and duration for the British Isles projected by the PRUDENCE regional climate models"
21404,31_drought_precipit_sever_frequenc_index,89,Prediction of droughts in the mongolian plateau based on the cmip5 model
21405,31_drought_precipit_sever_frequenc_index,89,Response of electricity sector air pollution emissions to drought conditions in the western United States
21406,31_drought_precipit_sever_frequenc_index,89,"Increasing potential of biomass burning over Sumatra, Indonesia induced by anthropogenic tropical warming"
21407,31_drought_precipit_sever_frequenc_index,89,Characterizing hydrological drought and water scarcity changes in the future: A case study in the Jinghe River Basin of China
21408,31_drought_precipit_sever_frequenc_index,89,"Analysis of future changes in meteorological drought patterns in Fulda, Germany"
21409,31_drought_precipit_sever_frequenc_index,89,Drought risk assessment and estimation in vulnerable eco-regions of China: Under the background of climate change
21410,31_drought_precipit_sever_frequenc_index,89,Precipitation pattern estimation with the standardized precipitation index in projected future climate over Bulgaria
21411,31_drought_precipit_sever_frequenc_index,89,"Ecological vulnerability indicators to drought: Case of communal farmers in Eastern Cape, South Africa"
21412,31_drought_precipit_sever_frequenc_index,89,Indirect economic losses of drought under future projections of climate change: A case study for Spain
21413,31_drought_precipit_sever_frequenc_index,89,Climate change determined drought stress profiles in rainfed common bean production systems in Brazil
21414,31_drought_precipit_sever_frequenc_index,89,Energy security impacts of a severe drought on the future Finnish energy system
21415,31_drought_precipit_sever_frequenc_index,89,Contribution of Drought to Potential Crop Yield Reduction in a Wheat-Maize Rotation Region in the North China Plain
21416,31_drought_precipit_sever_frequenc_index,89,"Effects of Climate Change on Agricultural Drought Occurrence and Mitigation Measures: The Case of Candarave Village, Tacna - Peru"
21417,31_drought_precipit_sever_frequenc_index,89,Spatiotemporal trends and attribution of drought across China from 1901-2100
21418,31_drought_precipit_sever_frequenc_index,89,The combined and separate impacts of climate extremes on the current and future US rainfed maize and soybean production under elevated CO2
21419,31_drought_precipit_sever_frequenc_index,89,Air-pollution emission control in China: Impacts on soil acidification recovery and constraints due to drought
21420,31_drought_precipit_sever_frequenc_index,89,A modeling study of catchment discharge to Poyang Lake under future climate in China
21421,31_drought_precipit_sever_frequenc_index,89,Uncertainties in future projections of summer droughts and heat waves over the contiguous United States
21422,31_drought_precipit_sever_frequenc_index,89,Non-stationary analysis of dry spells in monsoon season of Senegal River Basin using data from Regional Climate Models (RCMs)
21423,31_drought_precipit_sever_frequenc_index,89,Future hydroclimatology of the Mekong River basin simulated using the high-resolution Japan Meteorological Agency (JMA) AGCM
21424,31_drought_precipit_sever_frequenc_index,89,On the climate risks in crop production and management in India: A review
21425,31_drought_precipit_sever_frequenc_index,89,Australian climate extremes in the 21st century according to a regional climate model ensemble: Implications for health and agriculture
21426,31_drought_precipit_sever_frequenc_index,89,"Analyzing the risk related to climate change attributes and their impact, a step towards climate-smart village (CSV): a geospatial approach to bring geoponics sustainability in India"
21427,31_drought_precipit_sever_frequenc_index,89,Climate change and managing water crisis: Pakistan's perspective
21428,31_drought_precipit_sever_frequenc_index,89,Assessment of precipitation extremes in India during the 21st century under SSP1-1.9 mitigation scenarios of CMIP6 GCMs
21429,31_drought_precipit_sever_frequenc_index,89,"Gas flaring, climate change and the Nigeria case"
21430,31_drought_precipit_sever_frequenc_index,89,Evaluation of extreme climate events using a regional climate model for China
21431,31_drought_precipit_sever_frequenc_index,89,"Potential drought stress in a Swiss mountain catchmentEnsemble forecasting of high mountain soil moisture reveals a drastic decrease, despite major uncertainties"
21432,31_drought_precipit_sever_frequenc_index,89,Assessment of the impact of climate change on daily extreme peak and low flows of Zenne basin in Belgium
21433,31_drought_precipit_sever_frequenc_index,89,"Spatiotemporal Analysis of Water Balance Components and Their Projected Changes in Near-future Under Climate Change Over Sina Basin, India"
21434,31_drought_precipit_sever_frequenc_index,89,Understanding climate as a driver of food insecurity in Ethiopia
21435,31_drought_precipit_sever_frequenc_index,89,"Lessons of climate change, stories of solutions. The Netherlands: Innovative technology"
21436,31_drought_precipit_sever_frequenc_index,89,"Lessons of climate change, stories of solutions. Bangladesh: Adaptation"
21437,31_drought_precipit_sever_frequenc_index,89,"Climate Resilient Villages for Sustainable Food Security in Tropical India: Concept, Process, Technologies, Institutions, and Impacts"
21438,31_drought_precipit_sever_frequenc_index,89,Impacts of Climate Change on Food Security in Ethiopia: Adaptation and Mitigation Options: A Review
21439,31_drought_precipit_sever_frequenc_index,89,Brazilian and global energy panorama-Comparative study of forecasts in the years 2000 to 2015 for the years 2015 to 2030
21440,31_drought_precipit_sever_frequenc_index,89,Climate change: A brief overview of the science and health impacts for Australia
21441,31_drought_precipit_sever_frequenc_index,89,"Climate change impact, mitigation and adaptation strategies for agricultural and water resources, in Ganga Plain (India)"
