ISO_3,Country,Region,title,authors,source,doi,author_keywords,publication_year,horizon_year,model,scopus_number,WOS_number,Energy efficiency,Climate change,Power,Vehicle,Cement,Forest,Steel/Iron,Buildings,Water,Air Pollution,Electricity,CCS,Transport,Policy-Dvlpt-Eco,Agriculture,Tax,Heat Pump,Consumption,Scenario,Wind/Solar,Costs,Coal,Nuclear,Fuel,Renewable Energies,Flood Risk,Technology,Bioenergy,Urban,Hydrogen,Permit market,Drought,Crop yield,Peak,Oil,Land Use,Target/INDC,Waste,System
AFG,Afghanistan,Asia,The renewable energy sector in Afghanistan: Policy and potential,"Fahimi, A; Upham, P",WILEY INTERDISCIPLINARY REVIEWS-ENERGY AND ENVIRONMENT,10.1002/wene.280,NA,2018,2032,NA,NA,WOS:000425432900006,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,Africa,Determinación del Potencial energético de los Residuos Sólidos Urbanos en tres municipios de la provincia de Luanda. Angola,"González Diaz, Yudith; Gato Clavell, Tania; Girón Guillot, Rosa L.; Pires Araújo, Luis",Tecnología Química,NA,biogas; sanitary fillers; urban solid residuals; energy power,2015,2037,NA,NA,SCIELO:S2224-61852015000100006,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
ALB,Albania,Europe,An approach to the large-scale integration of wind energy in Albania,"Malka L., Konomi I., Gjeta A., Drenova S., Gjikoka J.",International Journal of Energy Economics and Policy,10.32479/ijeep.9917,Albania; EnergyPlan; RETScreen; Techno-economic Feasibility; Wind Power,2020,2030,NA,2-s2.0-85090631115,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALB,Albania,Europe,Low carbon scenarios for South East Europe: Case study of Albania,"Szalay Z., Novikov A., Csoknyai T., Feiler J.",CESB 2016 - Central Europe Towards Sustainable Building 2016: Innovations for Sustainable Future,NA,Building stock; Energy saving potential; Policy; Typology,2016,2030,NA,2-s2.0-84986880456,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,Europe,The emerging role of the peasant economy at the end of the industrial age: insights from Albania,"Belletti, M",ECONOMIES OF BALKAN AND EASTERN EUROPE COUNTRIES IN THE CHANGED WORLD (EBEEC 2015),10.1016/S2212-5671(15)01695-0,peasant agriculture; climate change; post-industrial economy; epistemological change; sustainability,2015,2100,NA,NA,WOS:000380846000006,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,United Arab Emirates,Asia,The potential role of nuclear energy in mitigating CO 2 emissions in the United Arab Emirates,"AlFarra H.J., Abu-Hijleh B.",Energy Policy,10.1016/j.enpol.2011.11.084,CO 2 mitigation; Nuclear power; UAE,2012,2050,MESSAGE,2-s2.0-84856242184,WOS:000301616000029,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,Latin America,A process systems engineering approach to designing a solar/biomass hybrid energy system for dairy farms in Argentina,"Blanchet C.A.C., Pantaleo A.M., van Dam K.H.",Computer Aided Chemical Engineering,10.1016/B978-0-12-818634-3.50269-1,bioenergy; dairy farm; solar energy,2019,2030,NA,2-s2.0-85069634500,WOS:000495452400080,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARG,Argentina,Latin America,Energy efficiency scenarios following the energy trilemma - Argentina's Commitment to COP21,"Cervantes-Bravo R.J., Ñaupari-Barzol H., Jimenez-Nieves E.T., Magnelli D., Dabrowski A.",SPE Latin American and Caribbean Petroleum Engineering Conference Proceedings,10.2118/185511-ms,NA,2017,2100,NA,2-s2.0-85040522529,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,Latin America,Mitigation of road transport carbon emissions in Argentina,"Puliafito S.E., Castro F., Allende D., Castesana P.",International Journal of Environment and Pollution,10.1504/IJEP.2014.067694,Argentina; Carbon emissions; Environment; Hybrid vehicles; Mitigation; Pollution; Road transport,2014,2050,NA,2-s2.0-84923922865,WOS:000352842300009,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,Latin America,Greenhouse gas emissions from the waste sector in Argentina in business-as-usual and mitigation scenarios,"Santalla E., Córdoba V., Blanco G.",Journal of the Air and Waste Management Association,10.1080/10962247.2013.800167,NA,2013,2030,NA,2-s2.0-84882260473,WOS:000322564600004,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
